id	sign_string	transliteration_ipa	confidence	quantity	commodity_type	has_plural_affix	has_ergative_affix	sign_count
H064	10 50 740 2	gaj.cid.min.ko	high	7	fish	False	False	4
H065	70 80 235 342	hor.cak.ka.kon	high	19	vessels	False	False	4
H066	1 15 740 235	o.uni.min.ka	high	5	fish	False	False	4
H067	20 40 2 342	nal.mas.ko.kon	high	18	vessels	False	False	4
H068	60 70 235 740	boa.hor.ka.min	high	7	fish	False	False	4
H069	80 100 342 2	cak.kon.kon.ko	high	7	vessels	False	False	4
H070	1 2 235 740	o.ko.ka.min	high	2	fish	False	False	4
H071	8 17 342 235	sal.re.kon.ka	high	19	vessels	False	False	4
H072	10 25 740 2	gaj.hati.min.ko	high	4	fish	False	False	4
H073	50 70 235 342	cid.hor.ka.kon	high	14	vessels	False	False	4
H074	80 90 740 235	cak.kal.min.ka	high	16	fish	False	False	4
H075	100 1 2 342	kon.o.ko.kon	high	18	vessels	False	False	4
H076	15 35 740 235	uni.kul.min.ka	high	52	fish	True	False	4
H077	20 40 2 740	nal.mas.ko.min	high	9	fish	False	False	4
H078	60 80 235 342	boa.cak.ka.kon	high	19	vessels	False	False	4
H079	70 100 740 2	hor.kon.min.ko	high	8	fish	False	False	4
H080	1 8 235 740	o.sal.ka.min	high	5	fish	False	False	4
H081	17 25 342 2	re.hati.kon.ko	high	8	vessels	False	False	4
H082	50 60 740 235	cid.boa.min.ka	high	5	fish	False	False	4
H083	70 90 2 342	hor.kal.ko.kon	high	11	vessels	False	False	4
H084	80 100 235 740	cak.kon.ka.min	high	4	fish	False	False	4
H085	1 10 342 235	o.gaj.kon.ka	high	8	vessels	False	False	4
H086	2 50 740 2	ko.cid.min.ko	high	14	fish	False	False	4
H087	8 70 235 342	sal.hor.ka.kon	high	7	vessels	False	False	4
H088	17 80 740 235	re.cak.min.ka	high	5	fish	False	False	4
H089	25 100 2 342	hati.kon.ko.kon	high	3	vessels	False	False	4
H090	1 17 235 740	o.re.ka.min	high	13	fish	False	False	4
H091	2 8 342 235	ko.sal.kon.ka	high	19	vessels	False	False	4
H092	10 50 740 2	gaj.cid.min.ko	high	11	fish	False	False	4
H093	25 70 235 342	hati.hor.ka.kon	high	8	vessels	False	False	4
H094	80 90 740 235	cak.kal.min.ka	high	4	fish	False	False	4
H095	100 1 2 740	kon.o.ko.min	high	2	fish	False	False	4
H096	15 25 342 235	uni.hati.kon.ka	high	4	vessels	False	False	4
H097	20 50 740 2	nal.cid.min.ko	high	18	fish	False	False	4
H098	60 70 235 342	boa.hor.ka.kon	high	3	vessels	False	False	4
H099	80 100 740 235	cak.kon.min.ka	high	19	fish	False	False	4
H100	1 2 8 740	o.ko.sal.min	high	16	fish	False	False	4
H101	17 25 50 235	re.hati.cid.ka	medium	13	ivory	False	False	4
H102	70 80 100 342	hor.cak.kon.kon	high	14	vessels	False	False	4
H103	1 10 15 740	o.gaj.uni.min	high	17	fish	False	False	4
H104	2 20 25 235	ko.nal.hati.ka	high	9	ivory	False	False	4
H105	50 60 70 342	cid.boa.hor.kon	high	17	vessels	False	False	4
H106	80 90 100 740	cak.kal.kon.min	high	13	fish	False	False	4
H107	1 8 17 235	o.sal.re.ka	medium	18	grain	False	False	4
H108	2 10 50 740	ko.gaj.cid.min	high	1	fish	False	False	4
H109	25 70 80 342	hati.hor.cak.kon	high	6	vessels	False	False	4
H110	90 100 1 235	kal.kon.o.ka	high	12	cattle	False	False	4
H111	2 8 25 740	ko.sal.hati.min	high	12	fish	False	False	4
H112	17 50 70 235	re.cid.hor.ka	medium	18	grain	False	False	4
H113	80 90 100 342	cak.kal.kon.kon	high	13	vessels	False	False	4
H114	1 10 20 740	o.gaj.nal.min	high	17	fish	False	False	4
H115	2 25 60 235	ko.hati.boa.ka	high	18	ivory	False	False	4
H116	50 70 90 342	cid.hor.kal.kon	high	9	vessels	False	False	4
H117	80 100 1 740	cak.kon.o.min	high	8	fish	False	False	4
H118	8 17 25 235	sal.re.hati.ka	medium	19	ivory	False	False	4
H119	2 50 80 740	ko.cid.cak.min	high	18	fish	False	False	4
H120	70 90 100 342	hor.kal.kon.kon	high	14	vessels	False	False	4
H121	1 2 10 235	o.ko.gaj.ka	high	6	cattle	False	False	4
H122	17 25 70 740	re.hati.hor.min	medium	18	fish	False	False	4
H123	50 80 90 342	cid.cak.kal.kon	high	2	vessels	False	False	4
H124	100 1 8 235	kon.o.sal.ka	high	16	cattle	False	False	4
H125	2 17 60 740	ko.re.boa.min	high	16	fish	False	False	4
H126	25 50 80 342	hati.cid.cak.kon	high	16	vessels	False	False	4
H127	70 90 100 235	hor.kal.kon.ka	high	16	cattle	False	False	4
H128	1 8 25 740	o.sal.hati.min	medium	17	fish	False	False	4
H129	2 17 50 235	ko.re.cid.ka	high	15	grain	False	False	4
H130	60 70 100 342	boa.hor.kon.kon	high	19	vessels	False	False	4
H131	80 90 1 740	cak.kal.o.min	high	1	fish	False	False	4
H132	2 8 50 235	ko.sal.cid.ka	medium	13	grain	False	False	4
H133	17 25 80 740	re.hati.cak.min	high	10	fish	False	False	4
H134	70 90 100 342	hor.kal.kon.kon	high	4	vessels	False	False	4
H135	1 10 60 235	o.gaj.boa.ka	high	14	cattle	False	False	4
H136	2 25 80 740	ko.hati.cak.min	high	3	fish	False	False	4
H137	50 70 100 342	cid.hor.kon.kon	high	6	vessels	False	False	4
H138	90 1 8 235	kal.o.sal.ka	high	6	grain	False	False	4
H139	2 17 70 740	ko.re.hor.min	medium	16	fish	False	False	4
H140	25 60 80 342	hati.boa.cak.kon	high	12	vessels	False	False	4
H141	90 100 1 235	kal.kon.o.ka	high	14	cattle	False	False	4
H142	2 8 60 740	ko.sal.boa.min	high	4	fish	False	False	4
H143	17 50 90 235	re.cid.kal.ka	medium	5	grain	False	False	4
H144	70 80 100 342	hor.cak.kon.kon	high	3	vessels	False	False	4
H145	1 25 60 740	o.hati.boa.min	high	13	fish	False	False	4
H146	2 17 80 235	ko.re.cak.ka	high	18	grain	False	False	4
H147	50 90 100 342	cid.kal.kon.kon	high	14	vessels	False	False	4
H148	70 1 8 235	hor.o.sal.ka	medium	2	grain	False	False	4
H149	2 25 90 740	ko.hati.kal.min	high	18	fish	False	False	4
H150	60 80 100 342	boa.cak.kon.kon	high 	11	vessels	False	False	4
H151	235 740 342	ka.min.kon.ku	high	59	grain	True	False	3
H152	235 740 342	ka.min.kon.ku	high	40	grain	True	False	3
H153	235 740 342	ka.min.kon.ku	high	25	grain	True	False	3
H154	235 740 342	ka.min.kon.ku	high	63	grain	True	False	3
H155	235 740 342	ka.min.kon.ku	high	30	grain	True	False	3
H156	235 740 342	ka.min.kon.ku	high	32	grain	True	False	3
H157	235 740 342	ka.min.kon.ku	high	28	grain	True	False	3
H158	235 740 342	ka.min.kon.ku	high	25	grain	True	False	3
H159	235 740 342	ka.min.kon.ku	high	56	grain	True	False	3
H160	235 740 342	ka.min.kon.ku	high	34	grain	True	False	3
H161	17 235 342	re.ka.kon.te	high	24	vessels	False	True	3
H162	17 235 342	re.ka.kon.te	high	22	vessels	False	True	3
H163	17 235 342	re.ka.kon.te	high	18	vessels	False	True	3
H164	17 235 342	re.ka.kon.te	high	16	vessels	False	True	3
H165	17 235 342	re.ka.kon.te	high	32	vessels	False	True	3
H166	17 235 342	re.ka.kon.te	high	16	vessels	False	True	3
H167	17 235 342	re.ka.kon.te	high	16	vessels	False	True	3
H168	17 235 342	re.ka.kon.te	high	32	vessels	False	True	3
